MapUnit_Name,FIRE_NAME,YEAR_,min_RBR,max_RBR,mean_RBR,sd_RBR,area_ha
Singleleaf Pinyon / Muller Oak Woodland Association,WHISPERING PINES,2006,6.180394975151935e-4,0.44024477543913193,0.17086131870746613,0.09689841419458389,35.664438423417884
Singleleaf Pinyon / Muller Oak Woodland Association,COVINGTON,1995,0.004172830222187785,0.23819832833513335,0.10489833354949951,0.055046387016773224,0.05958431403099967
Singleleaf Pinyon / Muller Oak Woodland Association,Previously Unburned,0,0.004159635144977194,0.4136408692402928,0.23482999205589294,0.08490440249443054,12.724504218219186
Joshua Tree - California Juniper / Nevada Ephedra Woodland Association,WHISPERING PINES,2006,0.013781257929332897,0.4703220086404204,0.2665095031261444,0.09057478606700897,13.92943649980824
Joshua Tree - California Juniper / Nevada Ephedra Woodland Association,Previously Unburned,0,6.930164156667522e-4,0.46722340489648023,0.28751739859580994,0.09340003877878189,5.379419952672856
Muller Oak - California Buckwheat - Narrowleaf Goldenbush Shrubland Association,WHISPERING PINES,2006,0.0010204531723647468,0.42488222708360257,0.1628788411617279,0.09352480620145798,9.57621786183595
California Juniper / Blackbush Woodland Association,WHISPERING PINES,2006,0.006285139016304945,0.47247083150017605,0.2113134115934372,0.08869925141334534,3.9158686087264667
California Juniper / Blackbush Woodland Association,Previously Unburned,0,0.0026277064067631805,0.3348969788801131,0.19993196427822113,0.08208294957876205,1.1992137419905513
Red Brome - Mediterranean Grass Semi-Natural Herbaceous Stands,COVINGTON,1995,0.0012658467693744536,0.2601161060008605,0.09667076915502548,0.0645226240158081,2.465678265861643
Red Brome - Mediterranean Grass Semi-Natural Herbaceous Stands,Previously Unburned,0,0.004541802036839275,0.2954396350841202,0.12164035439491272,0.08278423547744751,0.6245018893928965
Mojave Yucca - Blackbush Shrubland Association,WHISPERING PINES,2006,0.00260203749984916,0.31166355727416567,0.10157965868711472,0.0718604326248169,0.26841255175995177
Mojave Yucca - Blackbush Shrubland Association,Previously Unburned,0,0.004159635144977194,0.40743943884568035,0.16125532984733582,0.11673267930746078,1.0750786678642121
Joshua Tree / Blackbush Woodland Association,WHISPERING PINES,2006,0.015069985113230539,0.4356721809143654,0.23505166172981262,0.09998101741075516,0.2736450044528924
